year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6084,4013.2857,0.4107,0.6726,0.3274,0.0,66.0,231.0,39.0
2013,18.3819,2583.5946,0.4196,0.5833,0.4167,67.0,0.0,267.0,2.0
2014,18.2076,2425.557,0.4256,0.5625,0.4375,23.0,0.0,313.0,0.0
2015,18.0673,2322.8873,0.4196,0.5417,0.4583,49.0,0.0,267.0,20.0
2016,17.8414,2581.7207,0.3958,0.5595,0.4405,135.0,23.0,142.0,36.0
2017,17.8384,1908.0464,0.3988,0.5685,0.4315,111.0,43.0,171.0,11.0
2018,17.6584,2443.0528,0.4315,0.6369,0.3631,38.0,0.0,298.0,0.0
2019,17.8369,1359.6374,0.4583,0.6756,0.3244,143.0,0.0,181.0,12.0
2020,17.5828,2666.7211,0.4077,0.628,0.372,162.0,46.0,128.0,0.0
2021,17.4499,2300.8321,0.4494,0.5833,0.4167,69.0,0.0,267.0,0.0
2022,17.1871,2692.9131,0.4077,0.6131,0.3869,34.0,41.0,260.0,1.0
