year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6517,3882.6052,0.4107,0.6726,0.3274,0.0,66.0,270.0,0.0
2013,18.447,2517.4673,0.4196,0.6071,0.3929,68.0,0.0,268.0,0.0
2014,18.2976,2350.4634,0.4256,0.5952,0.4048,18.0,0.0,318.0,0.0
2015,18.2165,2144.044,0.4048,0.5774,0.4226,144.0,4.0,141.0,47.0
2016,18.0461,2413.9418,0.3958,0.5804,0.4196,115.0,51.0,159.0,11.0
2017,18.1138,1694.5804,0.4167,0.6607,0.3393,111.0,23.0,193.0,9.0
2018,17.9493,2396.199,0.4226,0.6875,0.3125,31.0,0.0,305.0,0.0
2019,18.2143,1098.2771,0.4554,0.7292,0.2708,148.0,0.0,188.0,0.0
2020,17.9399,2728.1475,0.3988,0.6935,0.3065,170.0,52.0,114.0,0.0
2021,17.7337,2522.162,0.4107,0.6637,0.3363,57.0,0.0,279.0,0.0
2022,17.5028,2596.4916,0.4345,0.6905,0.3095,29.0,52.0,254.0,1.0
